2024-04-22,12,El Universal
2024-04-23,15,La Nación
2024-04-24,14,El Mercurio
2024-04-25,8,La Voz
2024-04-26,19,Diario Clarín
2024-04-27,7,El País
2024-04-28,9,El Mundo
2024-04-29,11,La Prensa
2024-04-30,18,El Tiempo
2024-05-01,15,La República
2024-05-02,16,Diario Popular
2024-05-03,13,La Estrella
2024-05-04,12,Noticias Hoy
2024-05-05,17,El Heraldo
2024-05-06,20,Crónica Diaria
2024-05-07,14,El Universal
2024-05-08,18,La Nación
2024-05-09,19,El Mercurio
2024-05-10,17,La Voz
2024-05-11,21,Diario Clarín
2024-05-12,14,El País
2024-05-13,13,El Mundo
2024-05-14,16,La Prensa
2024-05-15,19,El Tiempo
2024-05-16,12,La República
2024-05-17,20,Diario Popular
2024-05-18,18,La Estrella
2024-05-19,22,Noticias Hoy
2024-05-20,21,El Heraldo
2024-05-21,13,Crónica Diaria
2024-05-22,15,El Universal
2024-05-23,12,La Nación
2024-05-24,17,El Mercurio
2024-05-25,19,La Voz
2024-05-26,16,Diario Clarín
2024-05-27,22,El País
2024-05-28,18,El Mundo
2024-05-29,14,La Prensa
2024-05-30,13,El Tiempo
2024-05-31,19,La República
2024-06-01,20,Diario Popular
2024-06-02,18,La Estrella
2024-06-03,14,Noticias Hoy
2024-06-04,17,El Heraldo
2024-06-05,19,Crónica Diaria
2024-06-06,12,El Universal
2024-06-07,15,La Nación
2024-06-08,17,El Mercurio
2024-06-09,16,La Voz
2024-06-10,21,Diario Clarín
2024-06-11,14,El País
2024-06-12,13,El Mundo
2024-06-13,15,La Prensa
2024-06-14,18,El Tiempo
2024-06-15,16,La República
2024-06-16,22,Diario Popular
2024-06-17,19,La Estrella
2024-06-18,20,Noticias Hoy
2024-06-19,21,El Heraldo
2024-06-20,17,Crónica Diaria
2024-06-21,14,El Universal
2024-06-22,13,La Nación
2024-06-23,18,El Mercurio
2024-06-24,16,La Voz
2024-06-25,22,Diario Clarín
2024-06-26,20,El País
2024-06-27,17,El Mundo
2024-06-28,18,La Prensa
2024-06-29,13,El Tiempo
2024-06-30,19,La República
2024-07-01,20,Diario Popular
2024-07-02,21,La Estrella
2024-07-03,12,Noticias Hoy
2024-07-04,14,El Heraldo
2024-07-05,13,Crónica Diaria
2024-07-06,17,El Universal
2024-07-07,15,La Nación
2024-07-08,16,El Mercurio
2024-07-09,20,La Voz
2024-07-10,22,Diario Clarín
2024-07-11,19,El País
2024-07-12,14,El Mundo
2024-07-13,15,La Prensa
2024-07-14,18,El Tiempo
2024-07-15,21,La República
2024-07-16,16,Diario Popular
2024-07-17,17,La Estrella
2024-07-18,19,Noticias Hoy
2024-07-19,12,El Heraldo
2024-07-20,14,Crónica Diaria
2024-07-21,16,El Universal
2024-07-22,18,La Nación
2024-07-23,19,El Mercurio
2024-07-24,14,La Voz
2024-07-25,16,Diario Clarín
2024-07-26,15,El País
2024-07-27,18,El Mundo
2024-07-28,21,La Prensa
2024-07-29,17,El Tiempo
2024-07-30,22,La República
2024-07-31,20,Diario Popular
2024-08-01,16,La Estrella
2024-08-02,13,Noticias Hoy
2024-08-03,18,El Heraldo
2024-08-04,14,Crónica Diaria
2024-08-05,12,El Universal
2024-08-06,21,La Nación
2024-08-07,19,El Mercurio
2024-08-08,15,La Voz
2024-08-09,17,Diario Clarín
2024-08-10,14,El País
2024-08-11,18,El Mundo
2024-08-12,20,La Prensa
2024-08-13,22,El Tiempo
2024-08-14,16,La República
2024-08-15,13,Diario Popular
2024-08-16,19,La Estrella
2024-08-17,21,Noticias Hoy
2024-08-18,14,El Heraldo
2024-08-19,18,Crónica Diaria
2024-08-20,12,El Universal
2024-08-21,15,La Nación
2024-08-22,17,El Mercurio
2024-08-23,21,La Voz
2024-08-24,16,Diario Clarín
2024-08-25,19,El País
2024-08-26,20,El Mundo
2024-08-27,22,La Prensa
2024-08-28,12,El Tiempo
2024-08-29,18,La República
2024-08-30,19,Diario Popular
2024-08-31,16,La Estrella
2024-09-01,22,Noticias Hoy
2024-09-02,15,El Heraldo
2024-09-03,13,Crónica Diaria
2024-09-04,16,El Universal
2024-09-05,17,La Nación
2024-09-06,18,El Mercurio
2024-09-07,22,La Voz
2024-09-08,19,Diario Clarín
2024-09-09,20,El País
2024-09-10,14,El Mundo
2024-09-11,12,La Prensa
2024-09-12,21,El Tiempo
2024-09-13,16,La República
2024-09-14,18,Diario Popular
2024-09-15,17,La Estrella
2024-09-16,19,Noticias Hoy
2024-09-17,12,El Heraldo
2024-09-18,15,Crónica Diaria
2024-09-19,21,El Universal
2024-09-20,20,La Nación
2024-09-21,16,El Mercurio
2024-09-22,6,La Voz
2024-09-22,5,El Mundo
2024-09-23,14,Diario Clarín
2024-09-23,12,La Prensa
2024-09-24,11,El País
2024-09-24,8,El Tiempo
2024-09-25,15,La Prensa
2024-09-26,9,La Nación
2024-09-27,18,El Mercurio
2024-09-28,10,El País
2024-09-29,7,La Prensa
2024-09-30,14,Diario Clarín
2024-10-01,11,El Mundo
2024-10-02,9,La Voz
2024-10-03,12,El Heraldo
2024-10-04,15,La República
2024-10-05,7,Noticias Hoy
2024-10-06,11,El Mundo
2024-10-07,13,El Tiempo
2024-10-08,10,La Estrella
2024-10-09,11,Vea ps
2024-10-10,11,Vea ps
2024-10-11,11,Vea ps
2024-10-12,11,Vea ps
2024-10-13,11,El Heraldo
2024-10-14,2,El Heraldo
2024-10-15,2,El Heraldo
2024-10-16,5,Vea ps
